file_name,tags,ratio
/home/yonah/Data/vt_report_pdf/0821c9e89a2b3cec6c7421ddb3fae62559e84f2fb43eaa347a32f6f85d8c4c5e.html,0,30 / 43
/home/yonah/Data/vt_report_pdf/f34bec7285c8be03e89834950f41da7c2c2e041b60b4451bd5faae5be3dd7596.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",37 / 53
/home/yonah/Data/vt_report_pdf/296fbf297611939c7fddd3ab17b46a8d7b9ab5aa750b75682c059d59d8cf8b62.html,0,22 / 42
/home/yonah/Data/vt_report_pdf/6d983da826dd0b351d3ad7448ef177ec88004e4d013338de3bfcba685cb1eca7.html,0,27 / 43
/home/yonah/Data/vt_report_pdf/cce1da677f8e2c82d26e03e44e46f0b9f5f30a714ce7c13a26f5372a11860e3c.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",38 / 54
/home/yonah/Data/vt_report_pdf/ea57a91121a512906aafb7f62fd9050d4907b2c3d7e005d380ca975a9b32f370.html,"['pdf', 'acroform', 'file-embedded', 'invalid-xref']",31 / 48
/home/yonah/Data/vt_report_pdf/4d7d0b08b178e1798d5769130b82c83b53c6ebc5172ff4e75b22d1cc6331755f.html,0,23 / 43
/home/yonah/Data/vt_report_pdf/602a7d12d33745bd7c3733074b4a7fd5f2204c3333081f6604dfd40f982cb75f.html,0,29 / 43
/home/yonah/Data/vt_report_pdf/8db5a0ce7c0bfa16c6426f833dc52dbbdb834be332e2c38d8605f5eadf8623f2.html,0,27 / 43
/home/yonah/Data/vt_report_pdf/475e1d4038385bdfd8466099e7bb7b7671b1523b118c064c24507288156fa4db.html,0, 8 / 41
/home/yonah/Data/vt_report_pdf/6f0dfe3ae60e62608d791b86b8b6a7b25e965aa02825556b97ec41f6cf7eb075.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",39 / 57
/home/yonah/Data/vt_report_pdf/a97bcaa638f14ebb592a9b05fb682bb0e1c6f39dab3c9596f6ed8c387bc5d4ab.html,0,29 / 42
/home/yonah/Data/vt_report_pdf/eb16294ec00c8ea625342d6c174a18f3b187b83b9064323e2690a34c48a5947d.html,"['pdf', 'invalid-xref', 'acroform', 'autoaction', 'js-embedded']",15 / 46
/home/yonah/Data/vt_report_pdf/b08f1ffed28e6a3dad24fee2635a44ca2abec6af5dcf129a3e67c454d884436b.html,0,15 / 42
/home/yonah/Data/vt_report_pdf/f39bb01fe7ae5e1af488d16cab2f4cad3516c086ae7532ce164dac97a61dcf9c.html,0,27 / 37
/home/yonah/Data/vt_report_pdf/81b418fe1e660199d2519a2c878b63b64d8fddcf190df90a1d0acbb1ea1a167b.html,0,26 / 43
